cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
323,1,1.0,20,27,30,-48.214934438467026,-59.77730432152748,-14.823638916015625,-48.214934438467026,-59.77730432152748,-14.823638916015625,"Inferior Temporal Gyrus, temporooccipital part",Left Cerebral Cortex,"Inferior Temporal Gyrus, temporooccipital part"
324,6,1.0,20,27,57,-48.214934438467026,-59.77730432152748,39.176361083984375,-46.579317251841225,-59.0377334219714,39.843027750651046,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division"
325,1,1.0,20,28,34,-48.30319917201996,-57.77925291657448,-6.823638916015625,-48.30319917201996,-57.77925291657448,-6.823638916015625,"Inferior Temporal Gyrus, temporooccipital part",Left Cerebral Cortex,"Inferior Temporal Gyrus, temporooccipital part"
326,6,1.0,20,30,53,-48.479728639125824,-53.78315010666847,31.176361083984375,-46.422838966051735,-55.02691985915105,28.843027750651046,Angular Gyrus,Left Cerebral Cortex,Angular Gyrus
327,2,1.0,20,33,20,-48.74452283978462,-47.78899589180946,-34.823638916015625,-47.74549958109856,-47.744863633066416,-34.823638916015625,,,
328,33,1.0,20,34,58,-48.832787573337555,-45.79094448685646,41.176361083984375,-41.80570566112345,-46.936484311340436,38.69151259913589,"Supramarginal Gyrus, posterior division",Left Cerebral White Matter,"Supramarginal Gyrus, posterior division"
329,2,1.0,20,37,33,-49.09758177399635,-39.79679027199745,-8.823638916015625,-49.09758177399635,-39.79679027199745,-7.823638916015625,,Left Cerebral White Matter,Left Cerebral White Matter
330,1,1.0,20,38,14,-49.185846507549286,-37.79873886704445,-46.823638916015625,-49.185846507549286,-37.79873886704445,-46.823638916015625,,,
331,1,1.0,20,38,17,-49.185846507549286,-37.79873886704445,-40.823638916015625,-49.185846507549286,-37.79873886704445,-40.823638916015625,,,
332,1,1.0,20,40,60,-49.36237597465515,-33.80263605713844,45.176361083984375,-49.36237597465515,-33.80263605713844,45.176361083984375,"Supramarginal Gyrus, anterior division",Left Cerebral Cortex,"Supramarginal Gyrus, anterior division"
